Epoch,IOU_Train,IOU_Val
522,0.7644,0.4034
523,0.7650,0.3112
524,0.7646,0.4650
525,0.7646,0.3925
526,0.7650,0.3813
527,0.7646,0.5078
528,0.7657,0.3914
529,0.7649,0.4341
530,0.7646,0.4475
531,0.7656,0.3729
532,0.7653,0.4377
533,0.7653,0.5016
534,0.7651,0.3989
535,0.7649,0.4435
536,0.7655,0.4580
537,0.7658,0.3948
538,0.7654,0.1736
539,0.7661,0.4715
540,0.7658,0.3605
541,0.7654,0.4453
542,0.7661,0.4361
543,0.7667,0.3081
544,0.7665,0.4304
545,0.7660,0.4044
546,0.7668,0.3343
547,0.7664,0.3883
548,0.7661,0.4537
549,0.7668,0.4784
550,0.7666,0.2859
551,0.7664,0.4809
552,0.7669,0.3649
553,0.7668,0.4645
554,0.7663,0.2743
555,0.7670,0.4581
556,0.7674,0.2107
557,0.7674,0.3502
558,0.7672,0.4468
559,0.7669,0.3645
560,0.7677,0.4988
561,0.7671,0.3830
562,0.7675,0.3402
563,0.7677,0.4635
564,0.7677,0.3547
565,0.7681,0.4065
566,0.7680,0.4241
567,0.7680,0.4259
568,0.7677,0.4191
569,0.7681,0.4178
570,0.7679,0.3377
571,0.7679,0.3589
572,0.7676,0.4364
573,0.7682,0.4418
574,0.7680,0.3466
575,0.7682,0.4538
576,0.7683,0.3563
577,0.7685,0.3566
578,0.7682,0.4361
579,0.7684,0.4101
580,0.7689,0.3553
581,0.7686,0.3773
582,0.7686,0.4687
583,0.7688,0.3607
584,0.7690,0.2933
585,0.7689,0.3587
586,0.7692,0.3599
587,0.7691,0.4474
588,0.7690,0.3779
589,0.7692,0.4820
590,0.7695,0.4750
591,0.7693,0.4148
592,0.7692,0.3284
593,0.7690,0.3499
594,0.7691,0.3649
595,0.7695,0.4317
596,0.7698,0.4245
597,0.7697,0.4263
598,0.7698,0.4704
599,0.7697,0.3400
600,0.7698,0.3999
601,0.7698,0.3850
602,0.7701,0.3611
603,0.7700,0.4590
604,0.7702,0.3607
605,0.7696,0.4242
606,0.7703,0.4257
607,0.7705,0.3538
608,0.7710,0.3826
609,0.7701,0.4589
610,0.7707,0.4342
611,0.7705,0.3476
612,0.7710,0.3769
613,0.7705,0.3504
614,0.7709,0.3472
615,0.7705,0.4082
616,0.7705,0.4119
617,0.7713,0.4234
618,0.7711,0.3697
619,0.7709,0.3236
620,0.7710,0.4417
621,0.7702,0.3831
622,0.7710,0.3592
623,0.7709,0.3839
624,0.7712,0.4646
625,0.7717,0.4378
626,0.7716,0.4003
627,0.7712,0.4217
628,0.7718,0.3583
629,0.7714,0.4146
630,0.7715,0.3794
631,0.7716,0.4389
632,0.7715,0.3234
633,0.7714,0.3888
634,0.7718,0.3924
635,0.7713,0.3923
636,0.7717,0.3399
637,0.7718,0.3364
638,0.7719,0.4500
639,0.7726,0.5107
640,0.7721,0.2659
641,0.7719,0.3926
642,0.7721,0.3702
643,0.7720,0.4325
644,0.7722,0.3632
645,0.7720,0.3260
646,0.7725,0.3753
647,0.7728,0.4701
648,0.7722,0.4415
649,0.7723,0.2879
650,0.7728,0.4417
651,0.7725,0.3530
652,0.7727,0.3737
653,0.7726,0.4476
654,0.7719,0.3951
655,0.7727,0.3778
656,0.7730,0.3731
657,0.7731,0.3431
658,0.7728,0.3910
659,0.7728,0.4249
660,0.7730,0.4148
661,0.7733,0.3778
662,0.7729,0.3483
663,0.7733,0.3630
664,0.7731,0.2789
665,0.7728,0.2134
666,0.7733,0.3797
667,0.7733,0.4443
668,0.7727,0.3811
669,0.7737,0.3568
670,0.7737,0.3920
671,0.7728,0.3558
672,0.7735,0.3504
673,0.7736,0.3677
674,0.7735,0.3805
675,0.7736,0.3202
676,0.7738,0.4382
677,0.7739,0.2034
678,0.7738,0.3288
679,0.7739,0.3317
680,0.7734,0.4327
681,0.7738,0.4181
682,0.7740,0.4363
683,0.7739,0.3735
684,0.7742,0.2329
685,0.7740,0.4366
686,0.7745,0.3538
687,0.7740,0.3802
688,0.7742,0.4495
689,0.7743,0.4139
690,0.7743,0.4673
691,0.7744,0.3089
692,0.7742,0.3997
693,0.7742,0.3673
694,0.7745,0.4309
695,0.7742,0.3727
696,0.7742,0.4136
697,0.7745,0.3114
698,0.7745,0.4465
699,0.7748,0.4599
700,0.7747,0.3517
701,0.7745,0.4317
702,0.7751,0.4180
703,0.7750,0.3267
704,0.7754,0.3637
705,0.7752,0.4523
706,0.7745,0.3392
707,0.7748,0.3848
708,0.7756,0.3931
709,0.7750,0.4358
710,0.7747,0.4294
711,0.7755,0.3938
712,0.7750,0.4185
713,0.7750,0.3180
714,0.7754,0.3599
715,0.7753,0.4500
716,0.7756,0.4126
717,0.7752,0.4276
718,0.7752,0.3874
719,0.7754,0.3735
720,0.7759,0.3828
721,0.7753,0.4645
722,0.7757,0.3330
723,0.7753,0.3537
724,0.7761,0.4086
725,0.7753,0.3819
726,0.7756,0.4180
727,0.7764,0.4177
728,0.7761,0.2281
729,0.7757,0.3605
730,0.7755,0.3806
731,0.7759,0.4294
732,0.7760,0.3815
733,0.7757,0.4021
734,0.7759,0.3743
735,0.7764,0.3430
736,0.7756,0.3220
737,0.7761,0.3927
738,0.7764,0.3316
739,0.7764,0.4251
740,0.7763,0.4198
741,0.7761,0.2410
742,0.7764,0.4439
743,0.7765,0.4433
744,0.7767,0.4337
745,0.7765,0.4566
746,0.7767,0.3185
747,0.7762,0.3286
748,0.7768,0.4017
749,0.7769,0.4426
750,0.7768,0.4171
751,0.7767,0.4534
752,0.7766,0.3579
753,0.7768,0.4677
754,0.7766,0.4322
755,0.7769,0.4406
756,0.7769,0.3499
757,0.7764,0.3994
758,0.7773,0.3750
759,0.7767,0.3458
760,0.7769,0.4563
761,0.7769,0.4431
762,0.7770,0.2497
763,0.7773,0.3183
764,0.7769,0.2813
765,0.7775,0.3187
766,0.7773,0.4747
767,0.7773,0.3783
768,0.7775,0.4515
769,0.7774,0.4554
770,0.7770,0.3807
771,0.7774,0.3862
772,0.7775,0.4254
773,0.7773,0.3762
774,0.7775,0.3867
775,0.7774,0.4023
776,0.7778,0.4021
777,0.7776,0.4277
778,0.7776,0.3227
779,0.7778,0.4034
780,0.7778,0.4221
781,0.7778,0.4103
782,0.7781,0.4121
783,0.7781,0.3766
784,0.7773,0.4472
785,0.7779,0.3870
786,0.7775,0.2517
787,0.7779,0.4375
788,0.7778,0.4444
789,0.7781,0.5147
790,0.7780,0.2885
791,0.7781,0.3848
792,0.7781,0.4357
793,0.7788,0.3986
794,0.7780,0.4133
795,0.7781,0.3527
796,0.7780,0.4133
797,0.7782,0.4214
798,0.7782,0.4388
799,0.7787,0.2783
800,0.7784,0.2667
801,0.7782,0.4689
802,0.7785,0.2812
803,0.7785,0.3135
804,0.7785,0.3660
805,0.7785,0.3656
806,0.7783,0.4751
807,0.7786,0.3797
808,0.7788,0.4222
809,0.7785,0.4492
810,0.7787,0.3712
811,0.7784,0.4231
812,0.7786,0.4424
813,0.7786,0.3436
814,0.7787,0.3838
815,0.7787,0.4252
816,0.7792,0.4504
817,0.7787,0.3731
818,0.7793,0.4145
819,0.7788,0.4319
820,0.7789,0.3167
821,0.7792,0.3869
822,0.7795,0.3341
823,0.7787,0.3615
824,0.7792,0.3481
825,0.7789,0.2481
826,0.7789,0.1920
827,0.7788,0.3096
828,0.7792,0.3329
829,0.7797,0.3932
830,0.7799,0.3304
831,0.7790,0.2130
832,0.7792,0.3265
833,0.7795,0.3280
834,0.7797,0.3603
835,0.7790,0.4539
836,0.7793,0.3445
837,0.7799,0.3285
838,0.7791,0.3877
839,0.7797,0.4824
840,0.7795,0.3587
841,0.7797,0.2556
842,0.7796,0.2971
843,0.7797,0.4388
844,0.7795,0.4010
845,0.7799,0.4165
846,0.7797,0.2418
847,0.7796,0.3752
848,0.7798,0.3904
849,0.7795,0.4883
850,0.7798,0.3123
851,0.7795,0.4357
852,0.7801,0.3778
853,0.7797,0.2990
854,0.7801,0.4603
855,0.7799,0.4226
856,0.7800,0.3047
857,0.7797,0.3230
858,0.7801,0.4091
859,0.7799,0.4056
860,0.7803,0.4573
861,0.7795,0.3451
862,0.7803,0.3804
863,0.7802,0.3330
864,0.7800,0.3731
865,0.7802,0.3445
866,0.7804,0.4085
867,0.7802,0.3027
868,0.7802,0.4114
869,0.7802,0.3279
870,0.7803,0.4612
871,0.7807,0.4009
872,0.7805,0.3452
873,0.7802,0.2883
874,0.7806,0.3483
875,0.7804,0.4613
876,0.7807,0.3363
877,0.7807,0.4158
878,0.7802,0.4688
879,0.7803,0.3910
880,0.7808,0.3884
881,0.7810,0.4287
882,0.7805,0.4075
883,0.7806,0.2863
884,0.7805,0.4156
885,0.7807,0.3567
886,0.7805,0.4118
887,0.7806,0.4478
888,0.7811,0.4180
889,0.7806,0.4689
890,0.7806,0.3489
891,0.7809,0.3101
892,0.7812,0.3943
893,0.7809,0.4501
894,0.7808,0.3518
895,0.7808,0.4080
896,0.7814,0.3660
897,0.7811,0.4486
898,0.7814,0.3419
899,0.7811,0.2559
900,0.7812,0.4206
901,0.7810,0.3243
902,0.7812,0.4461
903,0.7815,0.4365
904,0.7814,0.3866
905,0.7813,0.3192
906,0.7810,0.3992
907,0.7815,0.3955
908,0.7816,0.3902
909,0.7814,0.4350
910,0.7810,0.3394
911,0.7812,0.4156
912,0.7817,0.3603
913,0.7817,0.3665
914,0.7814,0.2989
915,0.7816,0.3365
916,0.7820,0.4291
917,0.7814,0.4325
918,0.7814,0.3348
919,0.7814,0.4602
920,0.7813,0.3930
921,0.7818,0.3521
922,0.7818,0.3994
923,0.7817,0.3675
924,0.7815,0.3933
925,0.7817,0.3794
926,0.7815,0.3545
927,0.7821,0.2945
928,0.7821,0.3462
929,0.7819,0.3378
930,0.7821,0.4444
931,0.7812,0.4291
932,0.7822,0.2768
933,0.7823,0.4088
934,0.7820,0.4137
935,0.7820,0.2628
936,0.7818,0.4006
937,0.7825,0.4427
938,0.7822,0.3567
939,0.7819,0.3111
940,0.7821,0.3708
941,0.7823,0.4393
942,0.7821,0.2872
943,0.7824,0.4127
944,0.7820,0.4500
945,0.7823,0.4153
946,0.7824,0.4362
947,0.7820,0.4291
948,0.7822,0.3667
949,0.7825,0.4207
950,0.7823,0.2607
951,0.7825,0.3809
952,0.7824,0.4959
953,0.7829,0.3476
954,0.7825,0.4874
955,0.7823,0.2773
956,0.7824,0.3944
957,0.7823,0.4124
958,0.7826,0.3994
959,0.7823,0.4024
960,0.7826,0.4414
961,0.7828,0.3622
962,0.7826,0.4222
963,0.7831,0.4364
964,0.7826,0.3809
965,0.7826,0.2925
966,0.7829,0.4304
967,0.7830,0.4453
968,0.7829,0.3821
969,0.7822,0.3909
970,0.7829,0.3493
971,0.7827,0.4056
972,0.7830,0.4138
973,0.7829,0.3905
974,0.7828,0.4513
975,0.7829,0.4173
976,0.7828,0.4200
977,0.7828,0.4448
